date,pm25,pm10,o3,no2,so2,co,aqi
2025-02-01,65.0,91.0,11.0,11.0,14.0,4.0,82.0
2025-02-02,95.0,100.0,14.0,10.0,13.0,4.0,32.5
2025-02-03,113.0,82.0,9.0,11.0,15.0,4.0,76.66666666666667
2025-02-04,98.0,63.0,7.0,10.0,5.0,4.0,26.666666666666668
2025-02-05,45.0,76.0,8.0,10.0,12.0,3.0,52.0
2025-02-06,84.0,61.0,7.0,11.0,13.0,4.0,80.0
2025-02-07,64.0,61.0,7.0,11.0,13.0,4.0,32.5
2025-01-01,124.0,18.0,14.0,10.0,4.0,2.0,36.0
2025-01-02,107.0,25.0,15.0,10.0,6.0,2.0,56.666666666666664
2025-01-03,125.0,64.0,17.0,10.0,5.0,1.0,34.0
2025-01-04,126.0,91.0,15.0,10.0,8.0,1.0,82.0
2025-01-05,128.0,71.0,11.0,10.0,3.0,1.0,42.0
2025-01-06,110.0,77.0,10.0,10.0,5.0,1.0,66.66666666666666
2025-01-07,95.0,67.0,9.0,10.0,4.0,2.0,34.0
2025-01-08,97.0,87.0,12.0,10.0,13.0,3.0,74.0
2025-01-09,107.0,74.0,10.0,10.0,13.0,2.0,56.666666666666664
2025-01-10,89.0,90.0,10.0,11.0,14.0,4.0,96.66666666666667
2025-01-11,128.0,80.0,10.0,10.0,14.0,3.0,60.0
2025-01-12,108.0,71.0,10.0,10.0,14.0,3.0,60.0
2025-01-13,90.0,69.0,13.0,10.0,14.0,3.0,38.0
2025-01-14,96.0,74.0,17.0,10.0,14.0,3.0,48.0
2025-01-15,107.0,79.0,10.0,11.0,15.0,3.0,57.99999999999999
2025-01-16,112.0,85.0,16.0,10.0,15.0,3.0,73.33333333333333
2025-01-17,111.0,85.0,18.0,10.0,14.0,3.0,70.0
2025-01-18,115.0,106.0,22.0,10.0,13.0,2.0,83.33333333333334
2025-01-19,144.0,103.0,50.0,10.0,8.0,5.0,37.5
2025-01-20,120.0,107.0,25.0,10.0,12.0,4.0,50.0
2025-01-21,131.0,97.0,16.0,11.0,13.0,4.0,94.0
2025-01-22,126.0,72.0,10.0,11.0,14.0,4.0,44.0
2025-01-23,93.0,73.0,8.0,10.0,14.0,4.0,46.0
2025-01-24,74.0,66.0,11.0,11.0,14.0,4.0,46.666666666666664
2025-01-25,72.0,80.0,18.0,10.0,13.0,4.0,60.0
2025-01-26,93.0,82.0,11.0,11.0,14.0,5.0,64.0
2025-01-27,93.0,100.0,37.0,10.0,11.0,5.0,74.0
2025-01-28,109.0,127.0,23.0,11.0,13.0,5.0,63.33333333333333
2025-01-29,143.0,81.0,16.0,11.0,15.0,4.0,62.0
2025-01-30,91.0,107.0,13.0,11.0,14.0,4.0,35.0
2025-01-31,126.0,73.0,7.0,11.0,13.0,4.0,46.0
2024-10-01,95.0,5.0,16.0,6.0,12.0,5.0,37.5
2024-10-02,85.0,4.0,17.0,6.0,13.0,2.0,83.33333333333334
2024-10-03,97.0,22.0,16.0,6.0,12.0,3.0,44.0
2024-10-04,80.0,66.0,14.0,6.0,14.0,4.0,66.66666666666666
2024-10-05,96.0,125.0,29.0,6.0,14.0,4.0,57.99999999999999
2024-10-06,142.0,88.0,28.0,6.0,13.0,5.0,76.0
